"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"255",3,3,3,3,3,-1,3,3,3,2,3,2,2,3,2
"256",3,3,3,1,0,-3,-3,3,1,3,3,0,3,-3,-3
"257",3,3,3,3,3,-2,3,3,3,3,3,2,3,3,-3
"258",2,2,2,1,2,0,1,2,2,2,1,2,2,2,2
"259",3,3,3,2,3,-2,2,2,3,2,2,3,3,2,0
"260",3,1,2,0,-1,-3,1,-2,-1,1,1,-2,1,2,0
"261",0,0,1,1,0,-1,1,1,0,1,0,2,-1,2,-1
"262",3,3,3,0,3,-3,0,1,1,1,3,1,0,2,2
"263",3,3,2,2,2,-3,1,3,1,1,2,0,2,2,1
"264",3,3,3,2,2,-2,1,3,1,0,2,1,2,-1,-1
"265",3,3,3,0,3,-2,2,2,3,3,0,3,2,3,0
"266",3,3,3,2,2,-3,1,-2,0,1,1,2,2,1,1
"267",3,3,1,2,1,-2,2,0,-1,1,-1,0,3,1,1
"268",3,1,3,1,-2,-3,1,-3,0,0,-2,0,1,1,-3
"269",3,3,2,2,1,0,2,3,2,1,1,2,2,0,2
"270",3,3,3,3,3,-3,0,-3,3,3,3,2,3,0,-3
"271",3,3,1,1,1,-2,1,2,1,3,1,-1,0,3,2
"272",3,3,3,3,3,0,3,2,3,3,2,3,2,2,0
"273",3,3,3,3,3,-2,2,3,3,2,3,3,1,2,2
"274",3,3,3,2,2,-1,2,2,2,2,2,0,0,2,2
"275",3,3,2,2,2,-3,3,2,2,1,-3,2,2,1,0
"276",3,3,2,2,2,3,2,2,3,3,3,3,2,3,3
"277",3,3,1,-2,1,-3,-3,0,2,-1,-2,1,2,-1,-2
"278",3,2,2,2,1,-1,1,1,0,-1,2,0,0,2,1
"279",-2,0,-1,0,-1,-2,0,-1,0,-1,0,0,-1,-1,-1
"280",3,3,3,2,3,1,3,3,2,3,2,3,2,3,3
"281",3,3,3,3,2,-3,1,2,2,1,2,2,2,-3,-3
"282",3,1,-1,1,1,-3,3,0,0,1,0,0,-2,1,1
"283",3,3,3,3,3,-3,0,0,3,3,3,3,3,3,-3
"284",3,3,3,2,3,-2,3,3,0,3,-1,1,2,2,3
"285",3,3,3,2,2,-2,1,2,2,2,1,1,1,1,-2
"286",3,3,3,3,2,-1,3,2,1,3,3,3,1,1,1
"287",3,3,3,3,3,-1,1,1,2,2,2,3,2,2,1
"288",3,3,3,1,3,-2,3,3,1,3,1,3,-1,3,3
"289",3,3,2,2,3,-3,0,1,0,1,1,1,1,1,1
"290",3,3,3,3,3,-2,1,1,3,1,3,2,3,1,1
"291",3,3,3,3,2,-3,2,3,2,3,3,2,-3,2,-3
"292",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"293",3,3,3,3,3,2,3,2,-2,1,2,2,3,2,2
"294",3,3,3,3,1,-3,0,-2,3,-1,-3,-3,3,-3,-3
"295",3,3,3,3,1,0,-2,1,1,3,0,1,1,2,1
"296",3,2,2,0,0,-3,-2,-3,0,-1,0,1,2,-1,-3
"297",3,3,2,3,2,-1,1,2,2,2,1,1,2,2,1
"298",3,3,3,3,3,-2,3,3,3,3,3,3,3,3,3
"299",3,3,3,3,3,-3,1,2,3,2,-3,2,3,0,-1
"300",2,2,2,2,0,0,1,2,1,1,2,-1,0,0,0
"301",1,1,0,-3,2,0,2,1,2,1,0,1,0,0,3
"302",3,3,3,3,3,1,3,3,3,3,3,3,3,3,3
"303",3,3,3,3,3,1,2,1,2,2,2,3,3,1,1
"304",2,3,2,2,2,2,3,2,2,2,2,2,2,2,2
"305",3,3,3,3,3,1,3,3,3,3,3,3,3,3,3
"306",3,3,3,3,0,-3,1,3,0,0,-2,0,3,-2,1
"307",3,3,3,3,2,-3,2,0,3,1,1,1,1,-1,0
"308",3,3,2,2,1,1,0,1,2,1,1,2,2,1,1
"309",0,2,2,2,2,2,1,1,2,-1,0,2,2,1,3
"310",3,3,3,2,1,-3,1,3,-3,0,1,-3,2,-3,2
"311",3,3,1,1,0,-3,0,1,0,1,2,0,1,0,0
"312",3,3,3,2,2,-1,3,1,2,2,3,3,3,2,-1
"313",3,3,3,3,3,-1,3,3,3,3,3,3,3,3,3
"314",2,3,3,1,2,2,1,1,1,2,1,1,3,1,1
"315",3,2,2,1,3,-2,1,1,0,3,1,0,2,1,-1
"316",3,3,3,3,3,-3,1,1,3,3,1,3,3,1,1
"317",3,3,2,2,-2,-3,-3,1,-1,-3,0,-1,1,-3,-3
"318",3,3,3,3,2,-1,2,3,2,2,2,2,3,2,2
"319",3,3,3,3,3,-2,1,1,2,3,3,3,3,3,0
"320",3,3,1,1,3,1,1,0,1,1,1,1,2,0,0
"321",3,3,3,1,3,-3,0,1,1,-1,2,2,2,0,1
"322",3,3,3,3,3,-3,0,3,2,3,-1,3,3,0,0
"323",3,3,2,2,2,1,1,2,1,0,0,-1,-1,-1,1
"324",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"325",3,3,3,3,2,-2,1,2,2,3,3,3,3,3,1
"326",3,3,3,2,2,-2,2,2,2,1,2,2,2,-2,1
"327",3,3,3,3,3,-2,1,0,3,-2,0,0,1,-2,-2
"328",3,3,3,1,3,1,0,0,-2,0,-1,1,1,2,-2
"329",3,3,3,3,2,-2,0,0,0,-1,2,-2,3,-2,-2
"330",3,3,3,3,1,1,2,3,3,1,3,1,1,1,1
"331",3,3,2,2,3,-3,2,2,3,1,1,3,3,1,1
"332",0,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0
"333",-3,-3,-3,-3,-2,-3,-3,-3,-2,-3,-2,-2,-3,-3,-3
"334",3,3,3,3,-1,-3,-3,2,-3,-3,-3,2,-3,-3,-3
"335",-3,-1,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3
"336",1,0,-3,-3,-3,-3,-3,0,-2,-3,-1,-3,-3,-3,0
"337",3,3,0,0,0,-3,0,-3,1,-3,-3,-2,-3,-1,-3
"338",-3,-1,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3
